1. 央视,#genre#
CCTV-17 农业农村,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch19073116233495000222.rsc/85717_Uni.sdp
CCTV-4 中文国际 欧洲,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch21062215382556856499.rsc/91655_Uni.sdp
CCTV-4 中文国际 美洲,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch21062215392161397058.rsc/91682_Uni.sdp
CCTV-5+ 体育赛事,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch11061217321508656858.rsc/70007_Uni.sdp
CHC-家庭影院,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch18120514091718394256.rsc/81481_Uni.sdp
CHC-影迷电影,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch18120514102191199606.rsc/81478_Uni.sdp
CHC-动作电影,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch18120514100139517699.rsc/81477_Uni.sdp
CGTN,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch15050914501799552135.rsc/70003_Uni.sdp
CGTN-纪录,rtsp://112.245.125.47:1554/iptv/import/Tvod/iptv/001/001/ch21062215405197977873.rsc/91702_Uni.sdp
中国教育-1,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch17120418204481298161.rsc/74278_Uni.sdp
中国教育-2,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch17120417211408620162.rsc/74298_Uni.sdp
中国教育-4,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch17120418055568047747.rsc/74289_Uni.sdp

 2. 山东,#genre#
山东卫视,rtsp://119.180.21.13:1554/iptv/import/Tvod/iptv/001/001/ch15050916441119736372.rsc/72315_Uni.sdp
山东齐鲁,rtsp://119.180.21.12:1554/iptv/import/Tvod/iptv/001/001/ch10120117223157422538.rsc/72370_Uni.sdp
山东新闻,rtsp://119.180.21.18:1554/iptv/import/Tvod/iptv/001/001/ch10120117023986249401.rsc/72341_Uni.sdp
山东生活,rtsp://119.180.21.7:1554/iptv/import/Tvod/iptv/001/001/ch10120117100570561699.rsc/72368_Uni.sdp
山东综艺,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch11012815051671532768.rsc/72276_Uni.sdp
山东农科,rtsp://119.180.21.6:1554/iptv/import/Tvod/iptv/001/001/ch11012815072111657053.rsc/72268_Uni.sdp
山东少儿,rtsp://119.180.21.10:1554/iptv/import/Tvod/iptv/001/001/ch11012815083626567264.rsc/72292_Uni.sdp
山东文旅,rtsp://119.180.21.15:1554/iptv/import/Tvod/iptv/001/001/ch10120117133527564831.rsc/72350_Uni.sdp
山东体育,rtsp://119.180.21.12:1554/iptv/import/Tvod/iptv/001/001/ch10111720502861127519.rsc/72324_Uni.sdp
山东教育,rtsp://119.180.21.13:1554/iptv/import/Tvod/iptv/001/001/ch10120118342495301658.rsc/72327_Uni.sdp
长岛综合,rtsp://119.180.21.9:1554/iptv/import/Tvod/iptv/001/001/ch21112309564791319018.rsc/92717_Uni.sdp
烟台新闻,rtsp://119.180.21.19:1554/iptv/import/Tvod/iptv/001/001/ch16123014461934304167.rsc/73281_Uni.sdp
烟台公共,rtsp://119.180.21.10:1554/iptv/import/Tvod/iptv/001/001/ch17071714494964567265.rsc/73467_Uni.sdp
烟台影视,rtsp://119.180.21.6:1554/iptv/import/Tvod/iptv/001/001/ch19103117125626705928.rsc/87175_Uni.sdp
烟台经济科技,rtsp://119.180.21.7:1554/iptv/import/Tvod/iptv/001/001/ch19103117122411101247.rsc/87176_Uni.sdp
海洋频道,rtsp://119.180.21.10:1554/iptv/import/Tvod/iptv/001/001/ch22111116270462496793.rsc/96163_Uni.sdp
山东经济广播,rtsp://119.180.21.16:1554/iptv/import/Tvod/iptv/001/001/ch24040915081276788638.rsc/100016_Uni.sdp

山东卫视,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch15050916441119736372.rsc/70010_Uni.sdp
山东齐鲁,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch10120117223157422538.rsc/70061_Uni.sdp
山东新闻,rtsp://112.245.125.38:1554/iptv/import/Tvod/iptv/001/001/ch10120117023986249401.rsc/70005_Uni.sdp
山东生活,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch10120117100570561699.rsc/70011_Uni.sdp
山东综艺,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch11012815051671532768.rsc/69938_Uni.sdp
山东农科,rtsp://112.245.125.39:1554/iptv/import/Tvod/iptv/001/001/ch11012815072111657053.rsc/70046_Uni.sdp
山东少儿,rtsp://112.245.125.48:1554/iptv/import/Tvod/iptv/001/001/ch11012815083626567264.rsc/69988_Uni.sdp
山东文旅,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch10120117133527564831.rsc/70048_Uni.sdp
山东体育,rtsp://112.245.125.41:1554/iptv/import/Tvod/iptv/001/001/ch10111720502861127519.rsc/70066_Uni.sdp
山东教育,rtsp://112.245.125.42:1554/iptv/import/Tvod/iptv/001/001/ch10120118342495301658.rsc/69990_Uni.sdp
