1. 央视,#genre#
CHC-家庭影院,http://122.4.104.5/00/SNM/CHANNEL00002028/index.m3u8
CHC-影迷电影,http://122.4.104.5/00/SNM/CHANNEL00002029/index.m3u8
CHC-动作电影,http://122.4.104.5/00/SNM/CHANNEL00002030/index.m3u8
中国教育-1,http://122.4.104.5/00/SNM/CHANNEL00000076/index.m3u8

2. 山东,#genre#
山东卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226059/10000100000000060000000002709088_0.smil
山东教育,rtsp://150.138.8.143/PLTV/88888888/224/3221226219/10000100000000060000000003301182_0.smil
山东齐鲁,rtsp://150.138.8.143/PLTV/88888888/224/3221226119/10000100000000060000000002952439_0.smil
山东新闻,rtsp://150.138.8.143/PLTV/88888888/224/3221226137/10000100000000060000000003064294_0.smil
山东文旅,rtsp://150.138.8.143/PLTV/88888888/224/3221226233/10000100000000060000000003385231_0.smil
山东综艺,rtsp://150.138.8.143/PLTV/88888888/224/3221226235/10000100000000060000000003385298_0.smil
山东生活,rtsp://150.138.8.143/PLTV/88888888/224/3221226276/10000100000000060000000003357334_0.smil
山东农科,rtsp://150.138.8.143/PLTV/88888888/224/3221226279/10000100000000060000000003687322_0.smil
山东少儿,rtsp://150.138.8.143/PLTV/88888888/224/3221226810/391572871.smil
山东体育,rtsp://150.138.8.143/PLTV/88888888/224/3221226139/10000100000000060000000003064319_0.smil
海洋频道,rtsp://150.138.8.132/PLTV/88888888/224/3221227353/449855977.smil

山东卫视,http://150.138.8.143/00/SNM/CHANNEL10000301/index.m3u8
山东教育,http://150.138.8.143/00/SNM/CHANNEL00000331/index.m3u8
山东齐鲁,http://150.138.8.132/00/SNM/CHANNEL10000313/index.m3u8
山东新闻,http://150.138.8.143/00/SNM/CHANNEL00000314/index.m3u8
山东文旅,http://150.138.8.143/00/SNM/CHANNEL00000337/index.m3u8
山东综艺,http://150.138.8.143/00/SNM/CHANNEL00000338/index.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000336/index.m3u8
山东农科,http://150.138.8.143/00/SNM/CHANNEL00000339/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000340/index.m3u8
山东体育,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8
海洋频道,http://150.138.8.143/00/SNM/CHANNEL00000662/index.m3u8

山东卫视,http://122.4.104.5/00/SNM/CHANNEL10000301/index.m3u8
山东教育,http://122.4.104.5/00/SNM/CHANNEL00000331/index.m3u8
山东齐鲁,http://122.4.104.5/00/SNM/CHANNEL10000313/index.m3u8
山东新闻,http://122.4.104.5/00/SNM/CHANNEL10000314/index.m3u8
山东文旅,http://122.4.104.5/00/SNM/CHANNEL00000337/index.m3u8
山东综艺,http://122.4.104.5/00/SNM/CHANNEL00000338/index.m3u8
山东生活,http://122.4.104.5/00/SNM/CHANNEL00000336/index.m3u8
山东农科,http://122.4.104.5/00/SNM/CHANNEL00000339/index.m3u8
山东少儿,http://122.4.104.5/00/SNM/CHANNEL00000340/index.m3u8
山东体育,http://122.4.104.5/00/SNM/CHANNEL00000315/index.m3u8
海洋频道,http://122.4.104.5/00/SNM/CHANNEL00000662/index.m3u8

3. 卫视,#genre#
北京卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226061/10000100000000060000000002709089_0.smil
东方卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226150/10000100000000060000000002807413_0.smil
江苏卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226063/10000100000000060000000002709090_0.smil
湖南卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226187/10000100000000060000000003110730_0.smil
浙江卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226090/10000100000000060000000002709093_0.smil
天津卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226211/10000100000000060000000003301168_0.smil
辽宁卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226209/10000100000000060000000003301163_0.smil
河南卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221227129/410142845.smil
广东卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226067/10000100000000060000000002709095_0.smil
深圳卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226088/10000100000000060000000002709106_0.smil
安徽卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226189/10000100000000060000000003110731_0.smil
吉林卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227161/411800545.smil
湖北卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226207/10000100000000060000000003301162_0.smil
贵州卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226213/10000100000000060000000003301172_0.smil
江西卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226215/10000100000000060000000003301175_0.smil
河南卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227129/410142845.smil
河北卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226217/10000100000000060000000003301180_0.smil
东南卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226154/10000100000000060000000002885447_0.smil
重庆卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226671/10000100000000060000000004141140_0.smil
黑龙江卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226065/10000100000000060000000002709094_0.smil
甘肃卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226832/402020797.smil
四川卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226842/397438339.smil
海南卫视,rtsp://150.138.8.143/PLTV/88888888/224/3221226845/397438344.smil
青海卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227104/438782477.smil
云南卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227210/438782321.smil
广西卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221227214/438782489.smil
宁夏卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226040/10000100000000060000000002706934_0.smil
西藏卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226019/10000100000000060000000002706936_0.smil
新疆卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226042/10000100000000060000000002706935_0.smil
兵团卫视,rtsp://150.138.8.132/PLTV/88888888/224/3221226726/10000100000000060000000004141145_0.smil

北京卫视,http://150.138.8.143/00/SNM/CHANNEL00000302/index.m3u8
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8
浙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
天津卫视,http://150.138.8.143/00/SNM/CHANNEL00000327/index.m3u8
广东卫视,http://150.138.8.143/00/SNM/CHANNEL00000307/index.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
安徽卫视,http://150.138.8.143/00/SNM/CHANNEL00000328/index.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000347/index.m3u8
湖北卫视,http://150.138.8.143/00/SNM/CHANNEL00000325/index.m3u8
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000330/index.m3u8
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000335/index.m3u8
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
吉林卫视,http://150.138.8.143/00/SNM/CHANNEL00000363/index.m3u8
辽宁卫视,http://150.138.8.143/00/SNM/CHANNEL00000326/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000367/index.m3u8
贵州卫视,http://150.138.8.143/00/SNM/CHANNEL00000329/index.m3u8
广西卫视,http://150.138.8.143/00/SNM/CHANNEL00000368/index.m3u8
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000348/index.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000349/index.m3u8
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000366/index.m3u8
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8
西藏卫视,http://150.138.8.143/00/SNM/CHANNEL00000045/index.m3u8
宁夏卫视,http://150.138.8.143/00/SNM/CHANNEL00000043/index.m3u8
三沙卫视,http://150.138.8.143/00/SNM/CHANNEL00000078/index.m3u8
黑龙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000306/index.m3u8

东南卫视,http://122.4.104.5/00/SNM/CHANNEL00000310/index.m3u8
东方卫视,http://122.4.104.5/00/SNM/CHANNEL00000309/index.m3u8
云南卫视,http://122.4.104.5/00/SNM/CHANNEL00000367/index.m3u8
北京卫视,http://122.4.104.5/00/SNM/CHANNEL00000302/index.m3u8
吉林卫视,http://122.4.104.5/00/SNM/CHANNEL00000363/index.m3u8
四川卫视,http://122.4.104.5/00/SNM/CHANNEL00000348/index.m3u8
天津卫视,http://122.4.104.5/00/SNM/CHANNEL00000327/index.m3u8
安徽卫视,http://122.4.104.5/00/SNM/CHANNEL00000328/index.m3u8
广东卫视,http://122.4.104.5/00/SNM/CHANNEL00000307/index.m3u8
广西卫视,http://122.4.104.5/00/SNM/CHANNEL00000368/index.m3u8
江苏卫视,http://122.4.104.5/00/SNM/CHANNEL00000304/index.m3u8
江西卫视,http://122.4.104.5/00/SNM/CHANNEL00000335/index.m3u8
河北卫视,http://122.4.104.5/00/SNM/CHANNEL00000330/index.m3u8
河南卫视,http://122.4.104.5/00/SNM/CHANNEL00000358/index.m3u8
浙江卫视,http://122.4.104.5/00/SNM/CHANNEL00000305/index.m3u8
海南卫视,http://122.4.104.5/00/SNM/CHANNEL00000347/index.m3u8
深圳卫视,http://122.4.104.5/00/SNM/CHANNEL00000308/index.m3u8
湖北卫视,http://122.4.104.5/00/SNM/CHANNEL00000325/index.m3u8
湖南卫视,http://122.4.104.5/00/SNM/CHANNEL00000324/index.m3u8
甘肃卫视,http://122.4.104.5/00/SNM/CHANNEL00000349/index.m3u8
贵州卫视,http://122.4.104.5/00/SNM/CHANNEL00000329/index.m3u8
辽宁卫视,http://122.4.104.5/00/SNM/CHANNEL00000326/index.m3u8
重庆卫视,http://122.4.104.5/00/SNM/CHANNEL00000341/index.m3u8
青海卫视,http://122.4.104.5/00/SNM/CHANNEL00000366/index.m3u8
云南卫视,http://122.4.104.5/00/SNM/CHANNEL00000039/index.m3u8
吉林卫视,http://122.4.104.5/00/SNM/CHANNEL00000036/index.m3u8
宁夏卫视,http://122.4.104.5/00/SNM/CHANNEL00000043/index.m3u8
山西卫视,http://122.4.104.5/00/SNM/CHANNEL00000032/index.m3u8
广西卫视,http://122.4.104.5/00/SNM/CHANNEL00000038/index.m3u8
新疆卫视,http://122.4.104.5/00/SNM/CHANNEL00000044/index.m3u8
西藏卫视,http://122.4.104.5/00/SNM/CHANNEL00000045/index.m3u8
陕西卫视,http://122.4.104.5/00/SNM/CHANNEL00000029/index.m3u8
青海卫视,http://122.4.104.5/00/SNM/CHANNEL00000042/index.m3u8
内蒙古卫视,http://122.4.104.5/00/SNM/CHANNEL00000040/index.m3u8
黑龙江卫视,http://122.4.104.5/00/SNM/CHANNEL00000027/index.m3u8
兵团卫视,http://122.4.104.5/00/SNM/CHANNEL00000071/index.m3u8
农林卫视,http://122.4.104.5/00/SNM/CHANNEL00000072/index.m3u8
三沙卫视,http://122.4.104.5/00/SNM/CHANNEL00000078/index.m3u8
厦门卫视,http://122.4.104.5/00/SNM/CHANNEL00000075/index.m3u8

4. 其它,#genre#
精彩影视,rtsp://150.138.8.132/PLTV/88888888/224/3221227155/443330176.smil
求索纪录,rtsp://150.138.8.132/PLTV/88888888/224/3221227231/457055034.smil
纪实科教,rtsp://150.138.8.132/PLTV/88888888/224/3221226225/10000100000000060000000003301187_0.smil
金鹰纪实,rtsp://150.138.8.143/PLTV/88888888/224/3221226221/10000100000000060000000003301183_0.smil
生活时尚,rtsp://150.138.8.132/PLTV/88888888/224/3221227325/443310000.smil
都市剧场,rtsp://150.138.8.132/PLTV/88888888/224/3221227147/443330119.smil
乐游频道,rtsp://150.138.8.132/PLTV/88888888/224/3221227139/443310012.smil
法治天地,rtsp://150.138.8.132/PLTV/88888888/224/3221227152/443310024.smil
